codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1101,Gobierno Autónomo Municipal de Sucre,SUC,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1102,Gobierno Autónomo Municipal de Yotala,YOT,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1103,Gobierno Autónomo Municipal de Poroma,POR,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1104,Gobierno Autónomo Municipal de Villa Azurduy,AZU,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),TAR,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),ZUD,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1107,Gobierno Autónomo Municipal de Presto,PRE,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1108,Gobierno Autónomo Municipal de Villa Mojocoya,VMO,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1109,Gobierno Autónomo Municipal de Icla,MUJ,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1110,Gobierno Autónomo Municipal de Padilla,PAD,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1111,Gobierno Autónomo Municipal de Tomina,VTM,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1112,Gobierno Autónomo Municipal de Sopachuy,SOP,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1113,Gobierno Autónomo Municipal de Villa Alcalá,ALC,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1114,Gobierno Autónomo Municipal de El Villar,VIL,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1115,Gobierno Autónomo Municipal de Monteagudo,VMT,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,PDM,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1117,Gobierno Autónomo Municipal de Tarabuco,TARB,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1118,Gobierno Autónomo Municipal de Yamparáez,YAM,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1119,Gobierno Autónomo Municipal de Camargo,CAM,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1120,Gobierno Autónomo Municipal de San Lucas,LUC,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1121,Gobierno Autónomo Municipal de Incahuasi,INCA,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1122,Gobierno Autónomo Municipal de Villa Serrano,SER,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),ABE,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1124,Gobierno Autónomo Municipal de Culpina,CUL,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
1125,Gobierno Autónomo Municipal de Las Carreras,CRR,municipal,GAM,Chuquisaca,Clasificadores Presupuestarios 2026
