gestion,file,codigo_entidad,nombre_entidad,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1101_Gobierno_Autónomo_Municipal_de_Sucre_categoria_programatica_grupo_gasto_total_gastos.pdf,1101,Gobierno Autónomo Municipal de Sucre,6294783,43080026,0,14189438,0,0,29249292,0,443973701,536787240
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_categoria_programatica_grupo_gasto_total_gastos.pdf,1102,Gobierno Autónomo Municipal de Yotala,2038425,2838750,4001597,253762,0,268338,1031310,13000,1699434,12144616
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_categoria_programatica_grupo_gasto_total_gastos.pdf,1103,Gobierno Autónomo Municipal de Poroma,2937554,3396353,4798478,471886,0,771029,1720942,9750,1187427,15293419
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1104_Gobierno_Autónomo_Municipal_de_Villa_Azurduy_categoria_programatica_grupo_gasto_total_gastos.pdf,1104,Gobierno Autónomo Municipal de Villa Azurduy,2130320,1998113,2400994,7199287,493932,955000,1007146,0,0,16184792
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1105_Gobierno_Autónomo_Municipal_de_Tarvita_Villa_Orías_categoria_programatica_grupo_gasto_total_gastos.pdf,1105,Gobierno Autónomo Municipal de Tarvita (Villa Orías),3173213,3680973,5058492,3119608,0,1418095,1763691,0,1151302,19365374
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1106_Gobierno_Autónomo_Municipal_de_Villa_Zudañez_Tacopaya_categoria_programatica_grupo_gasto_total_gastos.pdf,1106,Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya),2315741,3791344,4686555,354650,495751,838937,1315890,8500,2087112,15894480
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1107_Gobierno_Autónomo_Municipal_de_Presto_categoria_programatica_grupo_gasto_total_gastos.pdf,1107,Gobierno Autónomo Municipal de Presto,2148303,3300693,4800335,1556715,1000,218643,1206737,4800,1144137,14381363
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1108_Gobierno_Autónomo_Municipal_de_Villa_Mojocoya_categoria_programatica_grupo_gasto_total_gastos.pdf,1108,Gobierno Autónomo Municipal de Villa Mojocoya,1870420,2487234,3252191,974389,0,740225,961364,0,229801,10515624
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1109_Gobierno_Autónomo_Municipal_de_Icla_categoria_programatica_grupo_gasto_total_gastos.pdf,1109,Gobierno Autónomo Municipal de Icla,1711923,2492270,3303372,220658,434886,851994,927420,4500,0,9947023
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1110_Gobierno_Autónomo_Municipal_de_Padilla_categoria_programatica_grupo_gasto_total_gastos.pdf,1110,Gobierno Autónomo Municipal de Padilla,1533080,3751438,3157930,3906413,0,615782,1051690,3225,181010,14200568
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1111_Gobierno_Autónomo_Municipal_de_Tomina_categoria_programatica_grupo_gasto_total_gastos.pdf,1111,Gobierno Autónomo Municipal de Tomina,1463236,2835004,2998762,267793,0,808512,863400,0,524015,9760722
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1112_Gobierno_Autónomo_Municipal_de_Sopachuy_categoria_programatica_grupo_gasto_total_gastos.pdf,1112,Gobierno Autónomo Municipal de Sopachuy,1451955,2931143,2713197,1235314,0,288926,804562,0,139276,9564373
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1113_Gobierno_Autónomo_Municipal_de_Villa_Alcalá_categoria_programatica_grupo_gasto_total_gastos.pdf,1113,Gobierno Autónomo Municipal de Villa Alcalá,825140,1930446,1128451,2829237,700000,133650,554783,0,0,8101707
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1114_Gobierno_Autónomo_Municipal_de_El_Villar_categoria_programatica_grupo_gasto_total_gastos.pdf,1114,Gobierno Autónomo Municipal de El Villar,2138241,1735329,1729139,1386788,0,297483,634237,0,135067,8056284
